jid_b026324c6904b2a9cb4b88d6d61c81d1, 'tag', ['Rd k1, Areg', 'Rd k1, Breg', 'Add Areg, Breg, Creg', 'St Creg, k1' ] 
jid_367764329430db34be92fd14a7a770ee, 'tag', ['Rd k1, Areg', 'Rd k14, Breg', 'Add Areg, Breg, Creg', 'St Creg, k14' ] 
jid_8c9eb686bf3eb5bd83d9373eadf6504b, 'tag', ['Rd k1, Areg', 'Rd k15, Breg', 'Add Areg, Breg, Creg', 'St Creg, k15' ] 
jid_5b6b41ed9b343fed9cd05a66d36650f0, 'tag', ['Rd k1, Areg', 'Rd k16, Breg', 'Add Areg, Breg, Creg', 'St Creg, k16' ] 
jid_4d095eeac8ed659b1ce69dcef32ed0dc, 'tag', ['Rd k1, Areg', 'Rd k17, Breg', 'Add Areg, Breg, Creg', 'St Creg, k17' ] 
jid_cf4278314ef8e4b996e1b798d8eb92cf, 'tag', ['Rd k1, Areg', 'Rd k18, Breg', 'Add Areg, Breg, Creg', 'St Creg, k18' ] 
jid_3bb50ff8eeb7ad116724b56a820139fa, 'tag', ['Rd k1, Areg', 'Rd k19, Breg', 'Add Areg, Breg, Creg', 'St Creg, k19' ] 
jid_dbbf8220893d497d403bb9cdf49db7a4, 'tag', ['Rd k1, Areg', 'Rd k20, Breg', 'Add Areg, Breg, Creg', 'St Creg, k20' ] 
jid_fe9d26c3e620eeb69bd166c8be89fb8f, 'tag', ['Rd k1, Areg', 'Rd k21, Breg', 'Add Areg, Breg, Creg', 'St Creg, k21' ] 
jid_2fc57d6f63a9ee7e2f21a26fa522e3b6, 'tag', ['Rd k1, Areg', 'Rd k22, Breg', 'Add Areg, Breg, Creg', 'St Creg, k22' ] 
jid_2a53da1a6fbfc0bafdd96b0a2ea29515, 'tag', ['Rd k1, Areg', 'Rd k23, Breg', 'Add Areg, Breg, Creg', 'St Creg, k23' ] 
jid_7c67493bd72ceff21059c3d924d17518, 'tag', ['Rd k1, Areg', 'Rd k24, Breg', 'Add Areg, Breg, Creg', 'St Creg, k24' ] 
jid_2a52a5e65fc3c43f409550dfad1f904f, 'tag', ['Rd k1, Areg', 'Rd k25, Breg', 'Add Areg, Breg, Creg', 'St Creg, k25' ] 
jid_b0771132ab2531a40c9941375ed8e290, 'tag', ['Rd k1, Areg', 'Rd k26, Breg', 'Add Areg, Breg, Creg', 'St Creg, k26' ] 
jid_66a7c1d5cb75ef2542524d888fd32f4a, 'tag', ['Rd k1, Areg', 'Rd k27, Breg', 'Add Areg, Breg, Creg', 'St Creg, k27' ] 
jid_51a6d96331d5eaa300358c7a0faf168d, 'tag', ['Rd k1, Areg', 'Rd k28, Breg', 'Add Areg, Breg, Creg', 'St Creg, k28' ] 
jid_22cab69bca05d296a2d779a52cdee643, 'tag', ['Rd k1, Areg', 'Rd k29, Breg', 'Add Areg, Breg, Creg', 'St Creg, k29' ] 
jid_d5b4c7d9b06b60a7846c4529834c9812, 'tag', ['Rd k1, Areg', 'Rd k30, Breg', 'Add Areg, Breg, Creg', 'St Creg, k30' ] 
jid_4f89a0f6c113ae3ff279af1e6c6286bb, 'tag', ['Rd k1, Areg', 'Rd k31, Breg', 'Add Areg, Breg, Creg', 'St Creg, k31' ] 
jid_bb743fc2a7213949f25593c51cbee64f, 'tag', ['Rd k1, Areg', 'Rd k32, Breg', 'Add Areg, Breg, Creg', 'St Creg, k32' ] 
jid_4fbafd6948b6529caa2b78e476359875, 'tag', ['Rd k1, Areg', 'Rd k33, Breg', 'Add Areg, Breg, Creg', 'St Creg, k33' ] 
jid_fd1bc138d22d4f78150c6e808345c2cc, 'tag', ['Rd k1, Areg', 'Rd k34, Breg', 'Add Areg, Breg, Creg', 'St Creg, k34' ] 
jid_649ee93d50739c656e94ec88a32c7ffe, 'tag', ['Rd k1, Areg', 'Rd k35, Breg', 'Add Areg, Breg, Creg', 'St Creg, k35' ] 
jid_fa84f696e31d07f55cd45cc3c9e52f3b, 'tag', ['Rd k1, Areg', 'Rd k36, Breg', 'Add Areg, Breg, Creg', 'St Creg, k36' ] 
jid_87aa60e6e440a6656bc74eb20476d662, 'tag', ['Rd k1, Areg', 'Rd k37, Breg', 'Add Areg, Breg, Creg', 'St Creg, k37' ] 
jid_bda81ba88c634b46394ead43aff31ad5, 'tag', ['Rd k1, Areg', 'Rd k38, Breg', 'Add Areg, Breg, Creg', 'St Creg, k38' ] 
jid_59885ebc737617addaaf0cb8090203fc, 'tag', ['Rd k1, Areg', 'Rd k39, Breg', 'Add Areg, Breg, Creg', 'St Creg, k39' ] 
jid_90e2a51705594d033a3abe9d77b2b7ad, 'tag', ['Rd k1, Areg', 'Rd k40, Breg', 'Add Areg, Breg, Creg', 'St Creg, k40' ] 
jid_21fa2e849284bf7681c37a8b565bd934, 'tag', ['Rd k1, Areg', 'Rd k41, Breg', 'Add Areg, Breg, Creg', 'St Creg, k41' ] 
jid_50a2fabfdd276f573ff97ace8b11c5f4, 'tag', ['Rd k1, Areg', 'Rd k42, Breg', 'Add Areg, Breg, Creg', 'St Creg, k42' ] 
jid_f0287f33eba7192e2a9c6a14f829aa1a, 'tag', ['Rd k1, Areg', 'Rd k43, Breg', 'Add Areg, Breg, Creg', 'St Creg, k43' ] 
jid_e760668b6273d38c832c153fde5725da, 'tag', ['Rd k1, Areg', 'Rd k44, Breg', 'Add Areg, Breg, Creg', 'St Creg, k44' ] 
jid_93e50d72ab294091a81d828459019eba, 'tag', ['Rd k1, Areg', 'Rd k45, Breg', 'Add Areg, Breg, Creg', 'St Creg, k45' ] 
jid_d3a57c7e953913944c76009357469568, 'tag', ['Rd k1, Areg', 'Rd k46, Breg', 'Add Areg, Breg, Creg', 'St Creg, k46' ] 
jid_4a5c26d88c514a23bf15654abd83adb1, 'tag', ['Rd k1, Areg', 'Rd k47, Breg', 'Add Areg, Breg, Creg', 'St Creg, k47' ] 
jid_08c61f3fd48f12fa7c88a7f5fd01df3d, 'tag', ['Rd k1, Areg', 'Rd k48, Breg', 'Add Areg, Breg, Creg', 'St Creg, k48' ] 
jid_a75f5a8337c6699916182b6f7c10d7a9, 'tag', ['Rd k1, Areg', 'Rd k49, Breg', 'Add Areg, Breg, Creg', 'St Creg, k49' ] 
jid_6eb5cefde6fcb8463cea70880a44eb98, 'tag', ['Rd k1, Areg', 'Rd k50, Breg', 'Add Areg, Breg, Creg', 'St Creg, k50' ] 
jid_1aa55984651b2dc16275a24d7d5d81b7, 'tag', ['Rd k1, Areg', 'Rd k51, Breg', 'Add Areg, Breg, Creg', 'St Creg, k51' ] 
jid_7efd8e828c42580d6b3a36336533b453, 'tag', ['Rd k1, Areg', 'Rd k52, Breg', 'Add Areg, Breg, Creg', 'St Creg, k52' ] 
jid_c92841e00dbfeb12a0ce7fb3ffbd1fcb, 'tag', ['Rd k1, Areg', 'Rd k53, Breg', 'Add Areg, Breg, Creg', 'St Creg, k53' ] 
jid_2d999528ef1dd9ae433698abf3fe7f43, 'tag', ['Rd k1, Areg', 'Rd k54, Breg', 'Add Areg, Breg, Creg', 'St Creg, k54' ] 
jid_8d7e35631f830f2c5b9685450a2b8568, 'tag', ['Rd k1, Areg', 'Rd k55, Breg', 'Add Areg, Breg, Creg', 'St Creg, k55' ] 
jid_a074c5929fb80888a09bc6fa0878b08d, 'tag', ['Rd k1, Areg', 'Rd k56, Breg', 'Add Areg, Breg, Creg', 'St Creg, k56' ] 
jid_ec8b36fb34891a21752283fcde7788e5, 'tag', ['Rd k1, Areg', 'Rd k57, Breg', 'Add Areg, Breg, Creg', 'St Creg, k57' ] 
jid_f0810a231ce25a35e0b225652e9e54ed, 'tag', ['Rd k1, Areg', 'Rd k58, Breg', 'Add Areg, Breg, Creg', 'St Creg, k58' ] 
jid_6ae2481905403d48e262774919e04927, 'tag', ['Rd k1, Areg', 'Rd k59, Breg', 'Add Areg, Breg, Creg', 'St Creg, k59' ] 
jid_ecf27a776cdfc771defab1c5d19de9ab, 'tag', ['Rd k1, Areg', 'Rd k60, Breg', 'Add Areg, Breg, Creg', 'St Creg, k60' ] 
jid_1153ebfe1f32d9046be1105829c9a0b2, 'tag', ['Rd k1, Areg', 'Rd k61, Breg', 'Add Areg, Breg, Creg', 'St Creg, k61' ] 
jid_9a01df2f09a7bf076c00132b12811665, 'tag', ['Rd k1, Areg', 'Rd k62, Breg', 'Add Areg, Breg, Creg', 'St Creg, k62' ] 
jid_d26e597a24e9190afa579226d552f5d3, 'tag', ['Rd k1, Areg', 'Rd k63, Breg', 'Add Areg, Breg, Creg', 'St Creg, k63' ] 
jid_9caff0735bc6e80121cedcb98ca51821, 'tag', ['Rd k1, Areg', 'Rd k64, Breg', 'Add Areg, Breg, Creg', 'St Creg, k64' ] 
jid_767abe6119a018446bcd7627ff8a4f2d, 'tag', ['Rd k1, Areg', 'Rd k65, Breg', 'Add Areg, Breg, Creg', 'St Creg, k65' ] 
jid_73b4c20e598d6b495de7515ad4ea2fdc, 'tag', ['Rd k1, Areg', 'Rd k66, Breg', 'Add Areg, Breg, Creg', 'St Creg, k66' ] 
jid_b21dfa3feab817c3640bbb984346cdf1, 'tag', ['Rd k1, Areg', 'Rd k67, Breg', 'Add Areg, Breg, Creg', 'St Creg, k67' ] 
jid_597825570bae3f914642f26f98e9a810, 'tag', ['Rd k1, Areg', 'Rd k68, Breg', 'Add Areg, Breg, Creg', 'St Creg, k68' ] 
jid_105be3ebd0677ec739afd851a6d87fd5, 'tag', ['Rd k1, Areg', 'Rd k69, Breg', 'Add Areg, Breg, Creg', 'St Creg, k69' ] 
jid_30b00ce4c04ddd66589c7e0556a4bd4f, 'tag', ['Rd k1, Areg', 'Rd k70, Breg', 'Add Areg, Breg, Creg', 'St Creg, k70' ] 
jid_721327bfc0e276a871561a42ac89a490, 'tag', ['Rd k1, Areg', 'Rd k71, Breg', 'Add Areg, Breg, Creg', 'St Creg, k71' ] 
jid_8faff61bc1198cc6bdc19adafc27fc82, 'tag', ['Rd k1, Areg', 'Rd k72, Breg', 'Add Areg, Breg, Creg', 'St Creg, k72' ] 
jid_f634226ee88c06e2e8fa603ab5308b97, 'tag', ['Rd k1, Areg', 'Rd k73, Breg', 'Add Areg, Breg, Creg', 'St Creg, k73' ] 
jid_1ff1f1079687389af8322c6035ce3ba5, 'tag', ['Rd k1, Areg', 'Rd k74, Breg', 'Add Areg, Breg, Creg', 'St Creg, k74' ] 
jid_9f4c0b1fca5cb6f886aa2e54442b1e1b, 'tag', ['Rd k1, Areg', 'Rd k75, Breg', 'Add Areg, Breg, Creg', 'St Creg, k75' ] 
jid_1709106f7c5dbb0539104f4ea3c17a7d, 'tag', ['Rd k1, Areg', 'Rd k76, Breg', 'Add Areg, Breg, Creg', 'St Creg, k76' ] 
jid_2b44a59db15a3ee2f1605ac82b028b20, 'tag', ['Rd k1, Areg', 'Rd k77, Breg', 'Add Areg, Breg, Creg', 'St Creg, k77' ] 
jid_46107b341ed115c03ac287f002c233f7, 'tag', ['Rd k1, Areg', 'Rd k78, Breg', 'Add Areg, Breg, Creg', 'St Creg, k78' ] 
jid_54a24082cfebcd031ae7d0275379511e, 'tag', ['Rd k1, Areg', 'Rd k79, Breg', 'Add Areg, Breg, Creg', 'St Creg, k79' ] 
jid_cea4eca650d71bd9d552b4cf38e05702, 'tag', ['Rd k1, Areg', 'Rd k80, Breg', 'Add Areg, Breg, Creg', 'St Creg, k80' ] 
jid_37a9aea1be8915f4998443873ec90db0, 'tag', ['Rd k1, Areg', 'Rd k81, Breg', 'Add Areg, Breg, Creg', 'St Creg, k81' ] 
jid_a114f532e705020295b89c40b901e127, 'tag', ['Rd k1, Areg', 'Rd k82, Breg', 'Add Areg, Breg, Creg', 'St Creg, k82' ] 
jid_60f3db995d0676b576372c0ee45b7ac0, 'tag', ['Rd k1, Areg', 'Rd k83, Breg', 'Add Areg, Breg, Creg', 'St Creg, k83' ] 
jid_091b847d9660c0555bc6f29994a03710, 'tag', ['Rd k1, Areg', 'Rd k84, Breg', 'Add Areg, Breg, Creg', 'St Creg, k84' ] 
jid_d02a55da8edcc7ec95a59ce5c8a93f5b, 'tag', ['Rd k1, Areg', 'Rd k85, Breg', 'Add Areg, Breg, Creg', 'St Creg, k85' ] 
jid_db0aa8bee7afe5a6e363ddcd890e9743, 'tag', ['Rd k1, Areg', 'Rd k86, Breg', 'Add Areg, Breg, Creg', 'St Creg, k86' ] 
jid_071867626474acbe0af380ca62c1e98f, 'tag', ['Rd k1, Areg', 'Rd k87, Breg', 'Add Areg, Breg, Creg', 'St Creg, k87' ] 
jid_9e01624ab7743bcdbd8cb31681392cd5, 'tag', ['Rd k1, Areg', 'Rd k88, Breg', 'Add Areg, Breg, Creg', 'St Creg, k88' ] 
jid_4b1709eb0990e993c3125c159133d0fe, 'tag', ['Rd k1, Areg', 'Rd k89, Breg', 'Add Areg, Breg, Creg', 'St Creg, k89' ] 
jid_1b28e946f4a8ffd5bdf939779c420986, 'tag', ['Rd k1, Areg', 'Rd k90, Breg', 'Add Areg, Breg, Creg', 'St Creg, k90' ] 
jid_80ad60f95c32a3f6e413b5bb7c094e99, 'tag', ['Rd k1, Areg', 'Rd k91, Breg', 'Add Areg, Breg, Creg', 'St Creg, k91' ] 
jid_ed31ca2c02fe2af071ee0089ab43f64f, 'tag', ['Rd k1, Areg', 'Rd k92, Breg', 'Add Areg, Breg, Creg', 'St Creg, k92' ] 
jid_3368d7171580c61644211e59574674ba, 'tag', ['Rd k1, Areg', 'Rd k93, Breg', 'Add Areg, Breg, Creg', 'St Creg, k93' ] 
jid_c1cc2eeb27a86f85032b210ff5ef5d02, 'tag', ['Rd k1, Areg', 'Rd k94, Breg', 'Add Areg, Breg, Creg', 'St Creg, k94' ] 
jid_9672a5e9c09fb71edf287ea3057f9148, 'tag', ['Rd k1, Areg', 'Rd k95, Breg', 'Add Areg, Breg, Creg', 'St Creg, k95' ] 
jid_27e4d3594a232b37951be232588fd3a9, 'tag', ['Rd k1, Areg', 'Rd k96, Breg', 'Add Areg, Breg, Creg', 'St Creg, k96' ] 
jid_90fafcc60c7ee9f7a16e46c69606f9fa, 'tag', ['Rd k1, Areg', 'Rd k97, Breg', 'Add Areg, Breg, Creg', 'St Creg, k97' ] 
jid_18be9375e5a753f766616a51eb6131f0, 'tag', ['Rd k1, Areg', 'Rd k98, Breg', 'Add Areg, Breg, Creg', 'St Creg, k98' ] 
jid_b68495714b0e1cad8ebaa1599766a942, 'tag', ['Rd k1, Areg', 'Rd k99, Breg', 'Add Areg, Breg, Creg', 'St Creg, k99' ] 
jid_919d117956d3135c4c683ff021352f5c, 'tag', ['Rd k1, Areg', 'Rd k100, Breg', 'Add Areg, Breg, Creg', 'St Creg, k100' ] 
jid_cf6a52053ff904bca9d96fd4e7740d7d, 'tag', ['Rd k1, Areg', 'Rd k101, Breg', 'Add Areg, Breg, Creg', 'St Creg, k101' ] 
jid_5aa8301da6367a102391fc70cae9ee87, 'tag', ['Rd k1, Areg', 'Rd k102, Breg', 'Add Areg, Breg, Creg', 'St Creg, k102' ] 
jid_ff7f2c85af133d62c53b36a83edf0fd5, 'tag', ['Rd k1, Areg', 'Rd k103, Breg', 'Add Areg, Breg, Creg', 'St Creg, k103' ] 
jid_929ad9494d911e47cd54ce0d30472ccc, 'tag', ['Rd k1, Areg', 'Rd k104, Breg', 'Add Areg, Breg, Creg', 'St Creg, k104' ] 
jid_4df9699916cff49b080f7ce773e9aab7, 'tag', ['Rd k1, Areg', 'Rd k105, Breg', 'Add Areg, Breg, Creg', 'St Creg, k105' ] 
jid_48e3b798640336ae306dbc47c2798827, 'tag', ['Rd k1, Areg', 'Rd k106, Breg', 'Add Areg, Breg, Creg', 'St Creg, k106' ] 
jid_0fa41cbcef9d3f0563ffebdfcd102b2b, 'tag', ['Rd k1, Areg', 'Rd k107, Breg', 'Add Areg, Breg, Creg', 'St Creg, k107' ] 
jid_f9926b3197699cedc36f46a02349d112, 'tag', ['Rd k1, Areg', 'Rd k108, Breg', 'Add Areg, Breg, Creg', 'St Creg, k108' ] 
jid_ca4047ce3d85454b067b932ba1ac7320, 'tag', ['Rd k1, Areg', 'Rd k109, Breg', 'Add Areg, Breg, Creg', 'St Creg, k109' ] 
jid_2fe51daae840593fb0f4076b307ccefb, 'tag', ['Rd k1, Areg', 'Rd k110, Breg', 'Add Areg, Breg, Creg', 'St Creg, k110' ] 
jid_1181c1834012245d785120e3505ed169, 'tag', ['Rd k1, Areg', 'Rd k111, Breg', 'Add Areg, Breg, Creg', 'St Creg, k111' ] 
jid_f3527f99cc6f600235ae6b562d3980d9, 'tag', ['Rd k1, Areg', 'Rd k112, Breg', 'Add Areg, Breg, Creg', 'St Creg, k112' ] 
jid_754ee2a8de2d24e4e7956e7237a2b174, 'tag', ['Rd k1, Areg', 'Rd k113, Breg', 'Add Areg, Breg, Creg', 'St Creg, k113' ] 
jid_83050114704e61f1c58d81d9b607baaf, 'tag', ['Rd k1, Areg', 'Rd k114, Breg', 'Add Areg, Breg, Creg', 'St Creg, k114' ] 
jid_980327c5e0436dcaffc6cb9fbe22cb4d, 'tag', ['Rd k1, Areg', 'Rd k115, Breg', 'Add Areg, Breg, Creg', 'St Creg, k115' ] 
jid_0a5ec754e3041febfcc17fffbb892d75, 'tag', ['Rd k1, Areg', 'Rd k116, Breg', 'Add Areg, Breg, Creg', 'St Creg, k116' ] 
jid_969049573085c71a5d6dc034e34b56bf, 'tag', ['Rd k1, Areg', 'Rd k117, Breg', 'Add Areg, Breg, Creg', 'St Creg, k117' ] 
jid_12fc54257f1ae2301d3f9db906d7f414, 'tag', ['Rd k1, Areg', 'Rd k118, Breg', 'Add Areg, Breg, Creg', 'St Creg, k118' ] 
jid_353a99e6831ecb4f60e69a8f3c412854, 'tag', ['Rd k1, Areg', 'Rd k119, Breg', 'Add Areg, Breg, Creg', 'St Creg, k119' ] 
jid_617119c2d67402b95f241638ec7f27c9, 'tag', ['Rd k1, Areg', 'Rd k120, Breg', 'Add Areg, Breg, Creg', 'St Creg, k120' ] 
jid_83de9f8ad800dc61db7810021d57f37a, 'tag', ['Rd k1, Areg', 'Rd k121, Breg', 'Add Areg, Breg, Creg', 'St Creg, k121' ] 
jid_87ff3a697a3847ea7f3dfc8211c669a9, 'tag', ['Rd k1, Areg', 'Rd k122, Breg', 'Add Areg, Breg, Creg', 'St Creg, k122' ] 
jid_ba1f2511fc30423bdbb183fe33f3dd0f, 'tag', ['Rd k1, Areg', 'Rd k123, Breg', 'Add Areg, Breg, Creg', 'St Creg, k123' ] 
jid_df8b712c4fe20a0df933819665770165, 'tag', ['Rd k1, Areg', 'Rd k124, Breg', 'Add Areg, Breg, Creg', 'St Creg, k124' ] 
jid_f981f6a13c442f8cba2667f7ec5a41b6, 'tag', ['Rd k1, Areg', 'Rd k125, Breg', 'Add Areg, Breg, Creg', 'St Creg, k125' ] 
jid_f83be6652c0a89ed523a1bf518cdc2ad, 'tag', ['Rd k1, Areg', 'Rd k126, Breg', 'Add Areg, Breg, Creg', 'St Creg, k126' ] 
jid_52ee216e7ea72db74e87cc1819fc6c59, 'tag', ['Rd k1, Areg', 'Rd k127, Breg', 'Add Areg, Breg, Creg', 'St Creg, k127' ] 
jid_650a1c9c9baa20730b4fcfdbe4cdc135, 'tag', ['Rd k1, Areg', 'Rd k128, Breg', 'Add Areg, Breg, Creg', 'St Creg, k128' ] 
jid_221a057e91928a3651f31d376b907d60, 'tag', ['Rd k1, Areg', 'Rd k129, Breg', 'Add Areg, Breg, Creg', 'St Creg, k129' ] 
jid_21d192a7f99b9d042621777150ea8a5f, 'tag', ['Rd k1, Areg', 'Rd k130, Breg', 'Add Areg, Breg, Creg', 'St Creg, k130' ] 
jid_3be873cedd792b389c2b2495aa2b9b31, 'tag', ['Rd k1, Areg', 'Rd k131, Breg', 'Add Areg, Breg, Creg', 'St Creg, k131' ] 
jid_e051e54a58c467f7e3e23e648bf7ab83, 'tag', ['Rd k1, Areg', 'Rd k132, Breg', 'Add Areg, Breg, Creg', 'St Creg, k132' ] 
jid_02e6b43d347925b87e0f97793fe89159, 'tag', ['Rd k1, Areg', 'Rd k133, Breg', 'Add Areg, Breg, Creg', 'St Creg, k133' ] 
jid_7162e6c85b5430f81c374d194909ad60, 'tag', ['Rd k1, Areg', 'Rd k134, Breg', 'Add Areg, Breg, Creg', 'St Creg, k134' ] 
jid_615010a656a5bb29d1898f163619611f, 'tag', ['Rd k1, Areg', 'Rd k135, Breg', 'Add Areg, Breg, Creg', 'St Creg, k135' ] 
jid_be8032a3ea812eeb288df3aecaa0fca4, 'tag', ['Rd k1, Areg', 'Rd k136, Breg', 'Add Areg, Breg, Creg', 'St Creg, k136' ] 
jid_557ff88fbe890cf23ab4c4b6526ebd99, 'tag', ['Rd k1, Areg', 'Rd k137, Breg', 'Add Areg, Breg, Creg', 'St Creg, k137' ] 
jid_26e41e2047e361fd54e4d19ec39375eb, 'tag', ['Rd k1, Areg', 'Rd k138, Breg', 'Add Areg, Breg, Creg', 'St Creg, k138' ] 
jid_6067e932002f9de6546ab9e8fa14a1f7, 'tag', ['Rd k1, Areg', 'Rd k139, Breg', 'Add Areg, Breg, Creg', 'St Creg, k139' ] 
jid_f52f163317380a912b84fa81a69c6d6e, 'tag', ['Rd k1, Areg', 'Rd k140, Breg', 'Add Areg, Breg, Creg', 'St Creg, k140' ] 
jid_3c71a3f3482184ceca06acb78591c482, 'tag', ['Rd k1, Areg', 'Rd k141, Breg', 'Add Areg, Breg, Creg', 'St Creg, k141' ] 
jid_b17bf99d69b88017a7af6c7029c2db25, 'tag', ['Rd k1, Areg', 'Rd k142, Breg', 'Add Areg, Breg, Creg', 'St Creg, k142' ] 
jid_f498cc98ded256b5044b61b48fb6b642, 'tag', ['Rd k1, Areg', 'Rd k143, Breg', 'Add Areg, Breg, Creg', 'St Creg, k143' ] 
jid_8cf478ccdecd74e358a73857922d0bc0, 'tag', ['Rd k1, Areg', 'Rd k144, Breg', 'Add Areg, Breg, Creg', 'St Creg, k144' ] 
jid_95a283596833b3edcd053949e91715b2, 'tag', ['Rd k1, Areg', 'Rd k145, Breg', 'Add Areg, Breg, Creg', 'St Creg, k145' ] 
jid_9ae1400d5046b9667825b464e5b1ea86, 'tag', ['Rd k1, Areg', 'Rd k146, Breg', 'Add Areg, Breg, Creg', 'St Creg, k146' ] 
jid_fca54b184f3da329ae09e8978790ded4, 'tag', ['Rd k1, Areg', 'Rd k147, Breg', 'Add Areg, Breg, Creg', 'St Creg, k147' ] 
jid_e6d604c19ab3dad77d96f20161330764, 'tag', ['Rd k1, Areg', 'Rd k148, Breg', 'Add Areg, Breg, Creg', 'St Creg, k148' ] 
jid_b8344b1405a2d9cf936b0de14220b872, 'tag', ['Rd k1, Areg', 'Rd k149, Breg', 'Add Areg, Breg, Creg', 'St Creg, k149' ] 
jid_176ef0dfef8803a9ff66c1fd346824cc, 'tag', ['Rd k1, Areg', 'Rd k150, Breg', 'Add Areg, Breg, Creg', 'St Creg, k150' ] 
jid_409cd9f3b98c7e6e96ee8658e7fcb598, 'tag', ['Rd k1, Areg', 'Rd k151, Breg', 'Add Areg, Breg, Creg', 'St Creg, k151' ] 
jid_0f0254a21dc87e8fc35a9c2402db93b6, 'tag', ['Rd k1, Areg', 'Rd k152, Breg', 'Add Areg, Breg, Creg', 'St Creg, k152' ] 
jid_699598531905f632234819bfa19c34af, 'tag', ['Rd k1, Areg', 'Rd k153, Breg', 'Add Areg, Breg, Creg', 'St Creg, k153' ] 
jid_f9c12988f5b74ee369366d266fed867c, 'tag', ['Rd k1, Areg', 'Rd k154, Breg', 'Add Areg, Breg, Creg', 'St Creg, k154' ] 
jid_df05072830107e3cda57cd068a05588d, 'tag', ['Rd k1, Areg', 'Rd k155, Breg', 'Add Areg, Breg, Creg', 'St Creg, k155' ] 
jid_9f430be862c6c636d251b1dddf8f80e6, 'tag', ['Rd k1, Areg', 'Rd k156, Breg', 'Add Areg, Breg, Creg', 'St Creg, k156' ] 
jid_22b7896931cb399dc1672c48e0d55ce3, 'tag', ['Rd k1, Areg', 'Rd k157, Breg', 'Add Areg, Breg, Creg', 'St Creg, k157' ] 
jid_dc35b9fd881cc59bf54338af51a41c6e, 'tag', ['Rd k1, Areg', 'Rd k158, Breg', 'Add Areg, Breg, Creg', 'St Creg, k158' ] 
jid_78085aa67eaa6d90ad7b067e5a05cd5e, 'tag', ['Rd k1, Areg', 'Rd k159, Breg', 'Add Areg, Breg, Creg', 'St Creg, k159' ] 
jid_52154e9782f4ab05f7f77fc4abe6161d, 'tag', ['Rd k1, Areg', 'Rd k160, Breg', 'Add Areg, Breg, Creg', 'St Creg, k160' ] 
jid_cd3164cb1a8780dd7120c700913c334a, 'tag', ['Rd k1, Areg', 'Rd k161, Breg', 'Add Areg, Breg, Creg', 'St Creg, k161' ] 
jid_0c0a5b85cd23c0efa853ea54a4ae120b, 'tag', ['Rd k1, Areg', 'Rd k162, Breg', 'Add Areg, Breg, Creg', 'St Creg, k162' ] 
jid_c5bb33d902ffd764f88adb1036ca647b, 'tag', ['Rd k1, Areg', 'Rd k163, Breg', 'Add Areg, Breg, Creg', 'St Creg, k163' ] 
jid_e2f06df03efbe62eae4712199d312a5e, 'tag', ['Rd k1, Areg', 'Rd k164, Breg', 'Add Areg, Breg, Creg', 'St Creg, k164' ] 
jid_12fd838288a9836dcb33694479b34c4f, 'tag', ['Rd k1, Areg', 'Rd k165, Breg', 'Add Areg, Breg, Creg', 'St Creg, k165' ] 
