jid_cf6a52053ff904bca9d96fd4e7740d7d, 'tag', ['Rd k1, Areg', 'Rd k101, Breg', 'Add Areg, Breg, Creg', 'St Creg, k101' ] 
jid_699598531905f632234819bfa19c34af, 'tag', ['Rd k1, Areg', 'Rd k153, Breg', 'Add Areg, Breg, Creg', 'St Creg, k153' ] 
jid_f9c12988f5b74ee369366d266fed867c, 'tag', ['Rd k1, Areg', 'Rd k154, Breg', 'Add Areg, Breg, Creg', 'St Creg, k154' ] 
jid_df05072830107e3cda57cd068a05588d, 'tag', ['Rd k1, Areg', 'Rd k155, Breg', 'Add Areg, Breg, Creg', 'St Creg, k155' ] 
jid_9f430be862c6c636d251b1dddf8f80e6, 'tag', ['Rd k1, Areg', 'Rd k156, Breg', 'Add Areg, Breg, Creg', 'St Creg, k156' ] 
jid_22b7896931cb399dc1672c48e0d55ce3, 'tag', ['Rd k1, Areg', 'Rd k157, Breg', 'Add Areg, Breg, Creg', 'St Creg, k157' ] 
jid_dc35b9fd881cc59bf54338af51a41c6e, 'tag', ['Rd k1, Areg', 'Rd k158, Breg', 'Add Areg, Breg, Creg', 'St Creg, k158' ] 
jid_78085aa67eaa6d90ad7b067e5a05cd5e, 'tag', ['Rd k1, Areg', 'Rd k159, Breg', 'Add Areg, Breg, Creg', 'St Creg, k159' ] 
jid_52154e9782f4ab05f7f77fc4abe6161d, 'tag', ['Rd k1, Areg', 'Rd k160, Breg', 'Add Areg, Breg, Creg', 'St Creg, k160' ] 
jid_cd3164cb1a8780dd7120c700913c334a, 'tag', ['Rd k1, Areg', 'Rd k161, Breg', 'Add Areg, Breg, Creg', 'St Creg, k161' ] 
jid_0c0a5b85cd23c0efa853ea54a4ae120b, 'tag', ['Rd k1, Areg', 'Rd k162, Breg', 'Add Areg, Breg, Creg', 'St Creg, k162' ] 
jid_c5bb33d902ffd764f88adb1036ca647b, 'tag', ['Rd k1, Areg', 'Rd k163, Breg', 'Add Areg, Breg, Creg', 'St Creg, k163' ] 
jid_e2f06df03efbe62eae4712199d312a5e, 'tag', ['Rd k1, Areg', 'Rd k164, Breg', 'Add Areg, Breg, Creg', 'St Creg, k164' ] 
jid_12fd838288a9836dcb33694479b34c4f, 'tag', ['Rd k1, Areg', 'Rd k165, Breg', 'Add Areg, Breg, Creg', 'St Creg, k165' ] 
jid_31c76c1c43008d0a9d396fc78586f3d3, 'tag', ['Rd k1, Areg', 'Rd k166, Breg', 'Add Areg, Breg, Creg', 'St Creg, k166' ] 
jid_027f19cca4a7119da720f7f60314ced5, 'tag', ['Rd k1, Areg', 'Rd k167, Breg', 'Add Areg, Breg, Creg', 'St Creg, k167' ] 
jid_63cf7c8db392ec220067e32694368210, 'tag', ['Rd k1, Areg', 'Rd k168, Breg', 'Add Areg, Breg, Creg', 'St Creg, k168' ] 
jid_a187f54f5661d23769a5ab76651d1f8f, 'tag', ['Rd k1, Areg', 'Rd k169, Breg', 'Add Areg, Breg, Creg', 'St Creg, k169' ] 
jid_36f3ec68527c342d08520ec1d072fced, 'tag', ['Rd k1, Areg', 'Rd k170, Breg', 'Add Areg, Breg, Creg', 'St Creg, k170' ] 
jid_2eb5afb64fcc4eae09db82b522f20219, 'tag', ['Rd k1, Areg', 'Rd k171, Breg', 'Add Areg, Breg, Creg', 'St Creg, k171' ] 
jid_21b97fc756c8732ba5cbf02179225701, 'tag', ['Rd k1, Areg', 'Rd k172, Breg', 'Add Areg, Breg, Creg', 'St Creg, k172' ] 
jid_3d1108469b16342a97c5b60b363d751d, 'tag', ['Rd k1, Areg', 'Rd k173, Breg', 'Add Areg, Breg, Creg', 'St Creg, k173' ] 
jid_41075c479e3066ca4a8befc9ca07d15c, 'tag', ['Rd k1, Areg', 'Rd k174, Breg', 'Add Areg, Breg, Creg', 'St Creg, k174' ] 
jid_261104cbe0eceac00eaf4bf5d685b0cf, 'tag', ['Rd k1, Areg', 'Rd k175, Breg', 'Add Areg, Breg, Creg', 'St Creg, k175' ] 
jid_ed65b4e05427f8bfc0573db4d061a66f, 'tag', ['Rd k1, Areg', 'Rd k176, Breg', 'Add Areg, Breg, Creg', 'St Creg, k176' ] 
jid_edeaea17b7bb5f989e8879a33c116cae, 'tag', ['Rd k1, Areg', 'Rd k177, Breg', 'Add Areg, Breg, Creg', 'St Creg, k177' ] 
jid_7b7731085d04d325b618f8f83281d5e1, 'tag', ['Rd k1, Areg', 'Rd k178, Breg', 'Add Areg, Breg, Creg', 'St Creg, k178' ] 
jid_f584bd6f9cff10166a302a2ab5bc6e7e, 'tag', ['Rd k1, Areg', 'Rd k179, Breg', 'Add Areg, Breg, Creg', 'St Creg, k179' ] 
jid_e42002e140b29fc482ab0390cda6bdef, 'tag', ['Rd k1, Areg', 'Rd k180, Breg', 'Add Areg, Breg, Creg', 'St Creg, k180' ] 
jid_8bd50a3a0da6f7e47acd1ccd0fc1ac3c, 'tag', ['Rd k1, Areg', 'Rd k181, Breg', 'Add Areg, Breg, Creg', 'St Creg, k181' ] 
jid_993647e71651a205aba9934350da959c, 'tag', ['Rd k1, Areg', 'Rd k182, Breg', 'Add Areg, Breg, Creg', 'St Creg, k182' ] 
jid_948cd06ca76467cfb62fc176728d9039, 'tag', ['Rd k1, Areg', 'Rd k183, Breg', 'Add Areg, Breg, Creg', 'St Creg, k183' ] 
jid_3b9be5cbb65a3cfc9be0ae409bf28c1c, 'tag', ['Rd k1, Areg', 'Rd k184, Breg', 'Add Areg, Breg, Creg', 'St Creg, k184' ] 
jid_ae8d333327fdf610b2e9856d1c7df4b8, 'tag', ['Rd k1, Areg', 'Rd k185, Breg', 'Add Areg, Breg, Creg', 'St Creg, k185' ] 
jid_1e1da348199896d5dfc60bdc9086e025, 'tag', ['Rd k1, Areg', 'Rd k186, Breg', 'Add Areg, Breg, Creg', 'St Creg, k186' ] 
jid_0372c098401a1bed2e8f492a65793b6a, 'tag', ['Rd k1, Areg', 'Rd k187, Breg', 'Add Areg, Breg, Creg', 'St Creg, k187' ] 
jid_e6ce069c60d8e681ccd45b06ff3d47ad, 'tag', ['Rd k1, Areg', 'Rd k188, Breg', 'Add Areg, Breg, Creg', 'St Creg, k188' ] 
jid_34c6e1feaf7f5084f3014d5d11fb727e, 'tag', ['Rd k1, Areg', 'Rd k189, Breg', 'Add Areg, Breg, Creg', 'St Creg, k189' ] 
jid_bd918538adde6f0c235e2a5be74e735c, 'tag', ['Rd k1, Areg', 'Rd k190, Breg', 'Add Areg, Breg, Creg', 'St Creg, k190' ] 
jid_035032ee8b3366b341c48b0e9ba66601, 'tag', ['Rd k1, Areg', 'Rd k191, Breg', 'Add Areg, Breg, Creg', 'St Creg, k191' ] 
jid_6be7de648baa9067fa3087928d5ab0b4, 'tag', ['Rd k1, Areg', 'Rd k192, Breg', 'Add Areg, Breg, Creg', 'St Creg, k192' ] 
jid_3129533df8d7185baf2e03d971d603ff, 'tag', ['Rd k1, Areg', 'Rd k193, Breg', 'Add Areg, Breg, Creg', 'St Creg, k193' ] 
jid_939444082f2f746b65550629abb3c358, 'tag', ['Rd k1, Areg', 'Rd k194, Breg', 'Add Areg, Breg, Creg', 'St Creg, k194' ] 
jid_6f3898aad60615c5b13adea772ecec43, 'tag', ['Rd k1, Areg', 'Rd k195, Breg', 'Add Areg, Breg, Creg', 'St Creg, k195' ] 
jid_3bcd6e8775d0702d45044b567ffb6580, 'tag', ['Rd k1, Areg', 'Rd k196, Breg', 'Add Areg, Breg, Creg', 'St Creg, k196' ] 
jid_cbef08a051f3d9bb7015849dcd3e3422, 'tag', ['Rd k1, Areg', 'Rd k197, Breg', 'Add Areg, Breg, Creg', 'St Creg, k197' ] 
jid_5321951a8ceb122075cf6e80fce468ca, 'tag', ['Rd k1, Areg', 'Rd k198, Breg', 'Add Areg, Breg, Creg', 'St Creg, k198' ] 
jid_053ade8bc0514fd9f8411fec9ae6b566, 'tag', ['Rd k1, Areg', 'Rd k199, Breg', 'Add Areg, Breg, Creg', 'St Creg, k199' ] 
jid_c1ba58b05f6245f221ad65391fa6690b, 'tag', ['Rd k1, Areg', 'Rd k200, Breg', 'Add Areg, Breg, Creg', 'St Creg, k200' ] 
